hero,h_type,rel_ct,Comic,Hero,p_rel_ct,density
BEYONDER | MUTANT X-,Villain,87,30,28,840,0.10357142857142858
BI-BEAST,Villain,118,41,47,1927,0.06123508043591074
BI-BEAST II,Villain,1111,417,200,83400,0.013321342925659473
BIANDU,Hero,6,5,2,10,0.6
BIG BEN/,Hero,1202,489,237,115893,0.010371635905533553
BIG BERTHA/ASHLEY CR,Hero,1314,339,213,72207,0.018197681665212514
BIG CASINO/,Hero,1643,427,252,107604,0.015268949109698525
BIG MAN/FREDERICK FO,Villain,3216,1186,295,349870,0.00919198559464944
BIG ONE/KENJIRO SASA,Hero,3,3,1,3,1.0
"BIGGERS, MELVIN",Hero,678,125,127,15875,0.04270866141732284
BILE/,Hero,614,183,132,24156,0.025418115582050007
"BILLUPS, AGENT",Hero,125,42,35,1470,0.08503401360544217
BINARY | MUTANT X-VE,Hero,89,31,29,899,0.09899888765294772
BINARY/CAROL DANVERS,Hero,10198,3823,636,2431428,0.004194243053876158
BIOHAZARD,Villain,112,41,36,1476,0.07588075880758807
BIOHAZARD II/FLETCHE,Villain,7,4,3,12,0.5833333333333334
BIRD MAN III/,Hero,2011,646,300,193800,0.010376676986584107
BIRD MAN/HENRY HAWK,Hero,313,106,71,7526,0.041589157587031626
"BIRD, TUESDAY",Hero,875,224,173,38752,0.022579479768786128
BIRDBRAIN,Hero,1113,289,179,51731,0.021515145657342794
BIRDY,Hero,1153,328,205,67240,0.017147531231409874
BISHOP /,Hero,7169,2554,557,1422578,0.005039442476967871
BISON/BILLY KITSON,Hero,2591,854,350,298900,0.008668450986952158
BITMAP/,Hero,1170,469,233,109277,0.0107067360926819
BIZEN,Hero,154,73,46,3358,0.04586063132817153
BLACK AVENGER/JERRY,Hero,84,20,47,940,0.08936170212765958
BLACK BOLT | MUTANT,Villain,87,30,28,840,0.10357142857142858
BLACK BOLT/BLACKANTO,Villain,9318,3556,619,2201164,0.004233214789992931
BLACK BRIGADE,Villain,324,93,62,5766,0.05619146722164412
BLACK CAT/FELICIA HA,Villain,7914,2918,568,1657424,0.004774879572155345
BLACK CRANE/,Hero,1018,276,181,49956,0.020377932580670992
BLACK CROW/JESSE BLA,Hero,2102,729,320,233280,0.009010631001371743
BLACK DEATH/DR. IVAN,Villain,1,1,1,1,1.0
BLACK FOX II/,Hero,3968,1452,405,588060,0.006747610788014828
BLACK FOX/ROBERT W.,Hero,156,79,58,4582,0.034046268005237884
BLACK GOLIATH/DR. WI,Hero,5214,1769,490,866810,0.006015159031390962
BLACK HOLE/MORTON KI,Villain,15,3,5,15,1.0
BLACK KING/SEBASTIAN,Hero,6624,2207,544,1200608,0.005517204616327727
BLACK KNIGHT II/SIR,Hero,1414,516,242,124872,0.01132359536165033
BLACK KNIGHT III/EOB,Hero,697,176,144,25344,0.027501578282828284
BLACK KNIGHT IV DOPP,Hero,3035,1095,396,433620,0.006999215903325492
BLACK KNIGHT IV/PROF,Hero,5938,2111,525,1108275,0.005357875978434955
BLACK KNIGHT V DOPPE,Hero,3379,1197,416,497952,0.006785794614741983
BLACK KNIGHT V STATU,Hero,1365,508,205,104140,0.013107355483003649
BLACK KNIGHT V/DANE,Hero,11226,4306,661,2846266,0.003944114850825608
BLACK KNIGHT VI/PROF,Hero,870,270,171,46170,0.018843404808317088
BLACK KNIGHT/SIR PER,Hero,2644,997,362,360914,0.007325844938129305
BLACK LAMA,Hero,543,173,142,24566,0.022103720589432548
BLACK MAMBA/TANYA SE,Villain,4843,1473,479,705567,0.006863983151139438
BLACK MARIAH,Villain,8,5,4,20,0.4
BLACK MARVEL/DAN LYO,Hero,84,20,47,940,0.08936170212765958
BLACK MORAY,Hero,116,48,45,2160,0.053703703703703705
BLACK MOUNTAIN/KUROY,Hero,81,42,16,672,0.12053571428571429
BLACK PANTHER | MUTA,Hero,88,30,29,870,0.10114942528735632
BLACK PANTHER/T'CHAL,Hero,11840,4730,677,3202210,0.003697446451044747
BLACK RAAZER/,Hero,585,111,124,13764,0.04250217959895379
BLACK RACER/,Hero,1998,530,319,169070,0.01181759034719347
BLACK RAZER,Hero,49,28,18,504,0.09722222222222222
BLACK SPECTRE/CARSON,Hero,4,4,1,4,1.0
BLACK TALON II/SAMUE,Villain,655,202,141,28482,0.02299698054911874
BLACK TALON III,Villain,1,1,1,1,1.0
BLACK TALON/DESMOND,Villain,1,1,1,1,1.0
BLACK TARANTULA II/C,Hero,2377,837,244,204228,0.011638952543235992
BLACK TARANTULA/LAMU,Hero,121,47,34,1598,0.07571964956195244
BLACK TOM CASSIDY,Villain,4533,1526,436,665336,0.006813098945495208
BLACK WIDOW DOPPELGA,Villain,3034,1095,395,432525,0.0070146234321715505
BLACK WIDOW II/YELEN,Hero,1675,574,252,144648,0.011579835186106963
BLACK WIDOW | MUTANT,Hero,87,29,29,841,0.10344827586206896
BLACK WIDOW/NATASHA,Villain,12149,4973,686,3411478,0.003561213057800754
"BLACK, CAL",Hero,1,1,1,1,1.0
"BLACK, CYRUS",Hero,417,203,93,18879,0.0220880343238519
"BLACK, RACHEL",Hero,2,2,1,2,1.0
BLACKBALL,Hero,875,224,173,38752,0.022579479768786128
BLACKBIRD/,Hero,1705,339,252,85428,0.019958327480451375
