,hero,h_type,rel_ct,node_type,node_ct,p_rel_ct,density
1482,"DIAMOND, BOB",Hero,25,na,15,105.0,0.23809523809523808
1483,"DIAMOND, CHUCKY",Hero,3,na,3,3.0,1.0
1484,"DIAMONDE, YVETTE",Hero,1,na,2,1.0,1.0
1485,DIAMOND HEAD,Hero,0,na,1,0.0,
1486,DIAMONDHEAD/DYKER,Villain,25,na,11,55.0,0.45454545454545453
1487,"DIAMOND, KATHY",Hero,1,na,2,1.0,1.0
1488,DIAMOND LIL/LILLIAN,Hero,54,na,18,153.0,0.35294117647058826
1489,"DIBBS, LIONEL",Hero,6,na,4,6.0,1.0
1490,DIBDEB,Hero,3,na,3,3.0,1.0
1491,DICE/ROB FORTUNE,Hero,3,na,3,3.0,1.0
1492,"DICHINSON, RICKY",Hero,0,na,1,0.0,
1493,"DIEGO, MANUEL",Hero,3,na,3,3.0,1.0
1494,DIE'ODE/,Hero,0,na,1,0.0,
1495,"DIETZ, SUSAN",Hero,3,na,3,3.0,1.0
1496,DIGGER,Hero,25,na,8,28.0,0.8928571428571429
1497,DIGGER II/,Hero,5,na,4,6.0,0.8333333333333334
1498,"DILLON, ANITA",Hero,3,na,3,3.0,1.0
1499,"DILLON, BERNIE",Hero,8,na,6,15.0,0.5333333333333333
1500,"DILLON, JONATHAN",Hero,3,na,3,3.0,1.0
1501,DINAH-SOAR,Hero,158,na,25,300.0,0.5266666666666666
1502,DINU,Hero,15,na,6,15.0,1.0
1503,DIONYSUS [GREEK GOD],Hero,14,na,6,15.0,0.9333333333333333
1504,"DIPALMA, JOHNNY",Hero,6,na,4,6.0,1.0
1505,DIRECTOR X,Hero,0,na,1,0.0,
1506,DIRGE/,Hero,0,na,1,0.0,
1507,"DIRKSON, GUS",Hero,10,na,5,10.0,1.0
1508,DIRT NAP,Hero,4,na,4,6.0,0.6666666666666666
1509,DIRTY WOLFF,Hero,6,na,4,6.0,1.0
1510,DISCUS,Hero,74,na,14,91.0,0.8131868131868132
1511,DISPROSIUM,Hero,20,na,8,28.0,0.7142857142857143
1512,DISTORTER,Hero,0,na,1,0.0,
1513,DIVINITY,Hero,1,na,2,1.0,1.0
1514,"DIXON, GENERAL",Hero,1,na,2,1.0,1.0
1515,DIZZIE,Hero,0,na,1,0.0,
1516,D'KAY,Villain,0,na,1,0.0,
1517,D.K./DAVID KALEN,Villain,17,na,7,21.0,0.8095238095238095
