,hero,h_type,rel_ct,node_type,node_ct,p_rel_ct,density
0,24-HOUR MAN/EMMANUEL,Hero,0,na,1,0.0,
1,3-D MAN/CHARLES CHAN,Hero,3785,na,306,46665.0,0.081110039644273
2,4-D MAN/MERCURIO,Villain,2828,na,258,33153.0,0.08530148101227641
3,8-BALL/,Hero,0,na,1,0.0,
4,"ABBOTT, JACK",Hero,1517,na,146,10585.0,0.14331601322626358
5,ABCISSA,Hero,883,na,87,3741.0,0.2360331462175889
6,ABEL,Hero,0,na,1,0.0,
7,ABOMINATION/EMIL BLO,Villain,6028,na,501,125250.0,0.048127744510978045
8,ABOMINATION | MUTANT,Villain,102,na,28,378.0,0.2698412698412698
9,ABOMINATRIX,Villain,1,na,2,1.0,1.0
10,ABRAXAS,Villain,0,na,1,0.0,
11,ABSALOM,Villain,1267,na,144,10296.0,0.12305749805749806
12,ABSORBING MAN/CARL C,Villain,6687,na,599,179101.0,0.037336474949888614
13,ABSORBING MAN | MUTA,Villain,102,na,28,378.0,0.2698412698412698
14,ACBA,Hero,998,na,103,5253.0,0.18998667428136304
15,"ACHEBE, REVEREND DOC",Hero,2505,na,206,21115.0,0.11863604072933934
16,ACHILLES II/HELMUT,Hero,2564,na,196,19110.0,0.13417059131344847
17,ACHILLES,Hero,30,na,12,66.0,0.45454545454545453
