,hero,h_type,rel_ct,Comic,Hero,p_rel_ct,density
739,"BRUKNER, DR. FRANK",Hero,1,1,1,1,1.0
740,"BRUKNER, ILANEY",Hero,21,7,6,42,0.5
741,BRUNNHILDE/MCM-XLI (,Hero,4,2,3,6,0.6666666666666666
742,BRUNO,Hero,2,2,1,2,1.0
743,BRUTACUS,Hero,33,6,9,54,0.6111111111111112
744,BRUTE II/,Villain,4,2,3,6,0.6666666666666666
745,BRUTE | MUTANT X-VER,Villain,85,29,28,812,0.10467980295566502
746,BRUTE/REED RICHARDS,Villain,31,9,7,63,0.49206349206349204
747,BRUTO THE STRONGMAN/,Villain,47,12,8,96,0.4895833333333333
748,BRUTUS,Hero,17,3,7,21,0.8095238095238095
749,BRUTUS II,Hero,17,2,10,20,0.85
750,BRUTUS KLOR,Hero,8,1,8,8,1.0
751,"BRYCE, ARCHER",Hero,4,2,2,4,1.0
752,"BUCHANAN, SAM",Hero,7,4,4,16,0.4375
753,"BUCHETTO, SALVATORE",Hero,3,1,3,3,1.0
754,"BUCHOVITZ, STANLEY &",Hero,6,1,6,6,1.0
755,"BUCKMAN, EDWARD",Hero,3,1,3,3,1.0
756,"BUCKNER, GRANT",Hero,9,2,6,12,0.75
757,BUCKY II/FRED DAVIS,Hero,37,6,15,90,0.4111111111111111
758,BUCKY VI/,Hero,31,12,10,120,0.25833333333333336
759,BUCKY VII/RIKKI BARN,Hero,27,13,12,156,0.17307692307692307
760,BUCKY/BUCKY BARNES,Hero,100,47,22,1034,0.09671179883945841
761,BUEL,Hero,4,3,2,6,0.6666666666666666
762,BUG,Hero,15,9,4,36,0.4166666666666667
763,"BUKOWSKI, BUCK",Hero,6,3,4,12,0.5
764,BULL,Hero,2,2,1,2,1.0
765,BULLDOZER/HENRY CAMP,Hero,356,44,46,2024,0.17588932806324112
766,BULLET,Villain,23,9,8,72,0.3194444444444444
767,BULLET BIKER,Hero,25,4,9,36,0.6944444444444444
768,BULLSEYE,Villain,1,1,1,1,1.0
769,BULLSEYE II/BENJAMIN,Villain,106,41,22,902,0.11751662971175167
770,BULLSEYE | MUTANT X-,Villain,3,1,3,3,1.0
771,BULWARK/,Hero,2,1,2,2,1.0
772,BUMPKIN,Hero,5,1,5,5,1.0
773,"BUMPO, MR.",Hero,11,3,4,12,0.9166666666666666
774,"BUNYAN, PAUL",Hero,2,1,2,2,1.0
775,"BURGOS, CARL",Hero,2,1,2,2,1.0
776,BURKE,Hero,12,2,9,18,0.6666666666666666
777,"BURKE, GWYNETH",Hero,8,4,2,8,1.0
778,"BURKE, JACK",Hero,8,4,2,8,1.0
779,"BURKE, JOB",Hero,8,4,2,8,1.0
