hero,h_type,rel_ct,node_type,node_ct,p_rel_ct,density
"ANGELOPOULOS, ANGEL",Hero,33938,na,645,207690,0.163407001
ANGEL/WARREN KENNETH,Hero,170863,na,6276,19690950,0.008677235
ANGKOR,Villain,59033,na,1050,550725,0.107191429
ANGLER,Hero,127645,na,3270,5344815,0.023882024
"ANGSTROM, EARL",Hero,48076,na,1032,531996,0.090369101
ANIELLE,Hero,30030,na,618,190653,0.15751129
ANIMATOR/DR. FREDRIC,Villain,80644,na,1648,1357128,0.059422545
ANIMATOR II/,Villain,72444,na,1478,1091503,0.066370867
ANIMUS,Hero,57548,na,1093,596778,0.096431169
ANNALEE,Villain,115013,na,2732,3730546,0.030830072
ANNIHILUS,Villain,155345,na,4993,12462528,0.012464967
ANOMALY III,Hero,54651,na,970,469965,0.116287383
ANOMALY,Hero,101620,na,2175,2364225,0.042982373
"ANON, LORD",Hero,92958,na,1868,1743778,0.053308391
ANSWER II/DAVID FERR,Villain,104277,na,2322,2694681,0.038697345
ANSWER,Villain,94172,na,2216,2454220,0.038371458
ANTEUS,Hero,104221,na,2370,2807265,0.037125458
ANTHROMORPHO,Hero,151184,na,4430,9810235,0.015410844
ANTIBODY,Hero,59263,na,1048,548628,0.108020371
ANTI-PHOENIX,Hero,59220,na,1127,634501,0.093333186
ANTIQUARY/,Hero,56208,na,1131,639015,0.087960377
ANTI-VISION,Hero,85005,na,1671,1395285,0.060923037
ANT-MAN/DR. HENRY J.,Hero,170794,na,6258,19578153,0.008723703
ANT-MAN II/SCOTT HAR,Hero,168888,na,6029,18171406,0.009294162
"ANTOINETTE, MARIE",Hero,129019,na,3234,5227761,0.02467959
ANTORO,Hero,109820,na,2714,3681541,0.0298299
ANTRO,Hero,135689,na,3534,6242811,0.021735241
"ANUBAR, ANWAR",Hero,81261,na,1707,1456071,0.055808405
ANUBIA,Hero,29739,na,698,243253,0.12225543
ANVIL/JOHNNY ANVIL,Hero,117028,na,2862,4094091,0.028584611
APE MAN/GORDON MONK,Villain,157993,na,4962,12308241,0.012836359
APE MAN II/ROY MCVEY,Villain,121936,na,2913,4241328,0.028749486
