hero,h_type,rel_ct,Comic,Hero,p_rel_ct,density
ASYLUM II/HENRIQUE M,Hero,72247,611,1321,807131,0.089510872
ASYLUM/,Hero,117604,1562,2109,3294258,0.035699693
ATALANTA,Hero,207923,5803,4341,25190823,0.008253919
ATALON,Hero,70690,616,1199,738584,0.09571017
ATHENA [GREEK GOD],Hero,182211,4061,3599,14615539,0.012466937
"ATKINSON, MAJ. EDMON",Hero,168002,3357,3355,11262735,0.014916625
ATLAS,Hero,170160,3949,3384,13363416,0.012733271
ATLAS III,Hero,104518,1263,1689,2133207,0.048995714
ATOM SMASHER II/,Hero,94264,1220,1645,2006900,0.046969954
ATOM SMASHER/,Hero,108919,1236,1931,2386716,0.045635509
ATOM-SMASHER/,Hero,109558,1577,1924,3034148,0.036108324
"ATOR, GENERAL",Hero,158686,3347,2960,9907120,0.016017369
ATTRACTIVE LAD/AUNDR,Hero,123710,1805,2235,4034175,0.030665502
ATTUMA,Villain,246252,9491,5518,52371338,0.004702038
AUGUST PERSONAGE IN,Hero,201759,5695,4189,23856355,0.008457243
AUNTIE FREEZE/,Hero,101579,1101,1761,1938861,0.052391069
AURA/ANN HERD,Hero,132795,2415,2574,6216210,0.021362695
AURIC/,Hero,180371,4221,3765,15892065,0.011349752
AURORA DOPPELGANGER,Villain,192266,4896,3893,19060128,0.01008734
AURORA | MUTANT X-VE,Hero,45776,261,785,204885,0.223422896
AURORA/JEANNE-MARIE,Hero,260202,10952,6075,66533400,0.003910848
"AUSTIN, GEN.",Hero,114175,1292,1969,2543948,0.044881027
"AUSTIN, SUSAN",Hero,219317,7256,4709,34168504,0.006418689
"AUSTIN, TERRY",Hero,155617,3326,3057,10167582,0.015305212
"AUTHIER, POLICE CHIE",Hero,49925,548,958,524984,0.095098136
"AUTHIER, TRACY TRACE",Hero,56661,616,1117,688072,0.082347487
AUTHORITY/,Hero,132942,2362,2549,6020738,0.022080682
AUTOLYCUS,Hero,57909,601,1055,634055,0.091331194
AVALANCHE/DOMINIC PE,Villain,250183,9612,5719,54971028,0.004551179
AVANDALIA,Villain,107643,1960,2124,4163040,0.025856826
AVATAR,Hero,158645,2896,3031,8777776,0.018073485
AVATAR II/PRINCESS A,Hero,40147,314,695,218230,0.183966457
AVIA,Hero,163966,3026,3199,9680174,0.016938332
AVIOS,Hero,227386,7762,4907,38088134,0.005969996
AVIUS,Hero,128560,1773,2312,4099176,0.031362401
"AVRIL, SALLY",Hero,171552,4484,3426,15362184,0.011167162
"AVRIL, YVETTE",Hero,105460,1452,1882,2732664,0.038592377
AWESOME ANDROID,Villain,179510,4818,3698,17816964,0.010075229
AXE/,Hero,166216,3175,3329,10569575,0.015725892
AXIS/,Hero,4445,26,162,4212,1.055318139
"AYALA, AWILDA",Hero,61983,858,1208,1036464,0.059802367
"AYALA, FILIPPO",Hero,48011,522,874,456228,0.105234663
"AYALA, MRS.",Hero,61983,858,1208,1036464,0.059802367
"AYALA, NESTOR",Hero,60907,824,1175,968200,0.062907457
AYESHA,Villain,115494,1413,2045,2889585,0.039969061
AZAZEL,Villain,106942,1096,1874,2053904,0.052067672
AZAZEL II,Villain,15947,300,488,146400,0.108927596
AZIR,Hero,46004,416,837,348192,0.132122507
AZOPARDI,Hero,34,3,9,27,1.259259259
AZOR,Hero,85345,1273,1492,1899316,0.044934598
AZRAEL,Hero,61628,631,1089,687159,0.089685211
AZURE,Hero,99773,994,1643,1633142,0.061092667
B'ARR,Hero,106136,1318,1874,2469932,0.042971223
B'GON,Hero,9990,63,258,16254,0.61461794
"B'KOSA, GEN. JONATHA",Hero,25741,188,450,84600,0.304267139
BAAL,Hero,37877,196,608,119168,0.317845395
BAAL II,Hero,61019,690,1121,773490,0.078887898
BACILLUS,Hero,38202,313,765,239445,0.159543945
"BADALAMENTE, JESUS",Hero,175576,3966,3596,14261736,0.012310984
"BADALINO, LT. MICHAE",Hero,68625,859,1265,1086635,0.063153681
"BAILEY, GAILYN",Hero,101778,1183,1812,2143596,0.047480029
"BAILEY, JOEY",Hero,101778,1183,1812,2143596,0.047480029
"BAILEY, SARA GREY",Hero,152262,2532,2934,7428888,0.020495934
"BAIRD, DR.",Hero,141950,2429,2614,6349406,0.022356422
BAKER,Hero,46168,438,859,376242,0.122708257
"BAKER, ANNE-MARIE",Hero,147282,3352,2986,10009072,0.014714851
BALABAN/,Hero,129325,2202,2548,5610696,0.023049725
BALDER [ASGARDIAN],Hero,249848,9966,5656,56367696,0.004432468
"BALDWIN, JUSTIN",Hero,212782,5635,4608,25966080,0.008194614
"BALDWIN, MADELYNE MA",Hero,234210,7495,5250,39348750,0.005952159
"BALE, EMERSON",Hero,210664,6618,4517,29893506,0.007047149
"BALLANTINE, DEVON",Hero,131158,1801,2369,4266569,0.03074086
"BALLANTINE, KAYLA",Hero,245470,9108,5572,50749776,0.004836869
"BALLANTINE, MR.",Hero,120992,1512,2150,3250800,0.037219146
"BALLANTINE, MRS.",Hero,120992,1512,2150,3250800,0.037219146
BALOR,Hero,160628,3675,3143,11550525,0.013906554
BAMBI,Hero,194657,5350,4046,21646100,0.008992705
"BANCROFT, MARTINE",Hero,177327,4643,3580,16621940,0.010668249
BANDIT/,Hero,99700,1126,1859,2093234,0.047629649
"BANK, IRVING",Hero,34928,162,636,103032,0.339001475
"BANKS, SHARON",Hero,157623,3053,3092,9439876,0.016697571
"BANNER, BETTY ROSS T",Hero,255202,10653,5897,62820741,0.004062384
"BANNERJEE, DR.",Hero,40241,382,790,301780,0.133345483
"BANNON, LANCE",Hero,212714,6306,4497,28358082,0.007501001
BANSHEE 2013,Hero,141610,2117,2635,5578295,0.025385893
BANSHEE II,Hero,174743,4658,3541,16493978,0.010594351
BANSHEE/SEAN CASSIDY,Hero,251920,9941,5855,58204555,0.004328184
BANTAM/,Hero,113680,1459,1996,2912164,0.039036263
"BANTOCK, LT. OLIVER",Hero,45392,421,868,365428,0.124215988
"BAPTISTE, TANTE MATT",Hero,33702,197,618,121746,0.276822236
BARAK,Hero,99005,1237,1642,2031154,0.048743227
"BARBAROSSA, MARIO",Hero,27247,492,762,374904,0.072677272
"BARBAROSSA, VINNIE",Hero,111321,1702,2178,3706956,0.0300303
BARBARUS,Villain,215713,6323,4610,29149030,0.007400349
BARIUM,Hero,162158,2776,3080,8550080,0.01896567
BARKER,Hero,96873,1651,1839,3036189,0.031906117
"BARKER, MATTHEW T.",Hero,12080,100,319,31900,0.378683386
BARNACLE/,Hero,166624,3394,3192,10833648,0.01538023
"BARNETT, MIKE",Hero,134784,2129,2510,5343790,0.025222548
BARON BLOOD II/VICTO,Villain,143058,2640,2838,7492320,0.019093952
BARON BLOOD/JOHN FAL,Villain,185778,5229,3860,20183940,0.009204249
BARON BRIMSTONE/,Hero,184265,4561,3712,16930432,0.010883656
BARON MACABRE/,Hero,43260,318,728,231504,0.186865022
BARON MORDO/KARL MOR,Villain,201024,5546,4346,24102916,0.008340236
