hero,h_type,rel_ct,node_type,node_ct,p_rel_ct,density
"ANGSTROM, EARL",Hero,3,na,3,3.0,1.0
ANIELLE,Hero,0,na,1,0.0,
ANIMATOR/DR. FREDRIC,Villain,44,na,10,45.0,0.9777777777777777
ANIMATOR II/,Villain,0,na,1,0.0,
ANIMUS,Hero,0,na,1,0.0,
ANNALEE,Villain,113,na,16,120.0,0.9416666666666667
ANNIHILUS,Villain,139,na,27,351.0,0.396011396011396
ANOMALY III,Hero,0,na,1,0.0,
ANOMALY,Hero,6,na,4,6.0,1.0
"ANON, LORD",Hero,66,na,12,66.0,1.0
ANSWER II/DAVID FERR,Villain,4,na,4,6.0,0.6666666666666666
ANSWER,Villain,28,na,9,36.0,0.7777777777777778
ANTEUS,Hero,46,na,11,55.0,0.8363636363636363
ANTHROMORPHO,Hero,12,na,6,15.0,0.8
ANTIBODY,Hero,0,na,1,0.0,
ANTI-PHOENIX,Hero,0,na,1,0.0,
ANTIQUARY/,Hero,0,na,1,0.0,
ANTI-VISION,Hero,1,na,2,1.0,1.0
ANT-MAN/DR. HENRY J.,Hero,3167,na,262,34191.0,0.09262671463250563
ANT-MAN II/SCOTT HAR,Hero,962,na,99,4851.0,0.19830962688105544
"ANTOINETTE, MARIE",Hero,1,na,2,1.0,1.0
ANTORO,Hero,21,na,7,21.0,1.0
ANTRO,Hero,25,na,10,45.0,0.5555555555555556
"ANUBAR, ANWAR",Hero,3,na,3,3.0,1.0
ANUBIA,Hero,3,na,3,3.0,1.0
ANVIL/JOHNNY ANVIL,Hero,0,na,1,0.0,
APE MAN/GORDON MONK,Villain,30,na,11,55.0,0.5454545454545454
APE MAN II/ROY MCVEY,Villain,3,na,3,3.0,1.0
APE/,Villain,248,na,25,300.0,0.8266666666666667
APE-X/XINA,Hero,3,na,3,3.0,1.0
APOCALYPSE/EN SABAH,Villain,600,na,61,1830.0,0.32786885245901637
APOCALYPSE | MUTANT,Villain,17,na,7,21.0,0.8095238095238095
APOCRYPHUS,Hero,4,na,4,6.0,0.6666666666666666
APOLLO [GREEK GOD],Hero,19,na,8,28.0,0.6785714285714286
APOSTATE,Hero,1,na,2,1.0,1.0
APPALLA,Hero,1,na,2,1.0,1.0
"APPLEBAUM, PHANTASY",Hero,6,na,4,6.0,1.0
AQUARIAN/WUNDARR,Hero,64,na,20,190.0,0.3368421052631579
AQUARIUS/DARREN BENT,Villain,37,na,11,55.0,0.6727272727272727
AQUARIUS III/,Villain,15,na,6,15.0,1.0
AQUARIUS II/,Villain,21,na,7,21.0,1.0
ARABIAN KNIGHT/ABDUL,Hero,122,na,23,253.0,0.48221343873517786
ARACHNE,Hero,25,na,10,45.0,0.5555555555555556
ARAGORN,Hero,142,na,35,595.0,0.23865546218487396
ARAKI II,Hero,12,na,6,15.0,0.8
ARAKI [SHI'AR],Hero,30,na,11,55.0,0.5454545454545454
"ARBOGAST, BAMBI",Hero,308,na,53,1378.0,0.22351233671988388
ARCADE/,Villain,70,na,17,136.0,0.5147058823529411
ARCADIUS,Hero,34,na,9,36.0,0.9444444444444444
ARCANNA/ARCANNA JONE,Hero,85,na,22,231.0,0.36796536796536794
ARCHAEOPTERYX/TONAJA,Hero,15,na,6,15.0,1.0
ARCHER/JUDE BLACK,Hero,5,na,4,6.0,0.8333333333333334
"ARCHER, ULYSSES SAMS",Hero,3,na,3,3.0,1.0
ARCLIGHT/PHILLIPA SO,Villain,658,na,54,1431.0,0.45981830887491265
ARCTURUS,Hero,0,na,1,0.0,
ARES [GREEK GOD],Villain,63,na,21,210.0,0.3
AREX,Hero,3,na,3,3.0,1.0
ARGOS,Hero,0,na,1,0.0,
"ARGOSY, HERVE",Hero,6,na,4,6.0,1.0
ARIANE,Hero,1,na,2,1.0,1.0
ARIA,Hero,10,na,5,10.0,1.0
ARIDES,Hero,15,na,6,15.0,1.0
ARIEL II,Hero,21,na,8,28.0,0.75
ARIES II/GROVER RAYM,Hero,64,na,16,120.0,0.5333333333333333
ARIES III/,Hero,21,na,7,21.0,1.0
ARIES/MARCUS LASSITE,Hero,28,na,8,28.0,1.0
ARISHEM [CELESTIAL],Hero,101,na,23,253.0,0.39920948616600793
ARIZE,Hero,61,na,15,105.0,0.580952380952381
"ARKANIAN, GLIB",Hero,3,na,3,3.0,1.0
ARKON,Hero,45,na,14,91.0,0.4945054945054945
ARKO,Hero,10,na,5,10.0,1.0
"ARLINGTON, DR. MARCU",Hero,6,na,4,6.0,1.0
ARLISSE,Hero,0,na,1,0.0,
ARMADA II/,Hero,6,na,4,6.0,1.0
ARMADA,Hero,0,na,1,0.0,
ARMADILLO/ANTONIO RO,Hero,288,na,39,741.0,0.38866396761133604
ARMAGEDDON,Hero,1,na,2,1.0,1.0
ARMAGEDDON MAN,Hero,3,na,3,3.0,1.0
ARMAND,Hero,0,na,1,0.0,
ARMAROS,Hero,1,na,2,1.0,1.0
ARMAZIEL,Hero,0,na,1,0.0,
"ARMBRUSTER, COLONEL",Hero,11,na,7,21.0,0.5238095238095238
ARMS MERCHANT/ANDREA,Hero,40,na,10,45.0,0.8888888888888888
"ARMSTRONG, ?",Hero,0,na,1,0.0,
"ARMSTRONG, MYRA",Hero,20,na,7,21.0,0.9523809523809523
ARNSTROM,Hero,4,na,4,6.0,0.6666666666666666
ARON [WATCHER],Hero,262,na,32,496.0,0.5282258064516129
ARRANGER/,Hero,180,na,30,435.0,0.41379310344827586
ARROW,Hero,1,na,2,1.0,1.0
ARSENAL,Hero,12,na,7,21.0,0.5714285714285714
ARSENAL II,Hero,1,na,2,1.0,1.0
ARSENIC,Hero,20,na,8,28.0,0.7142857142857143
ARTEMIS,Hero,10,na,5,10.0,1.0
ARVAK,Hero,15,na,6,15.0,1.0
ARYAN,Villain,28,na,8,28.0,1.0
ASANO,Hero,0,na,1,0.0,
"ASBERY, SHAMARI",Hero,15,na,6,15.0,1.0
ASBESTOS LADY,Hero,0,na,1,0.0,
"ASH, BRANDY",Hero,24,na,8,28.0,0.8571428571428571
ASHEMA [CELESTIAL],Hero,27,na,9,36.0,0.75
"ASHER, CARL",Hero,0,na,1,0.0,
"ASHER, DONNA",Hero,0,na,1,0.0,
"ASHER, MICHAEL",Hero,0,na,1,0.0,
ASHUR,Hero,0,na,1,0.0,
ASKANI,Hero,14,na,6,15.0,0.9333333333333333
ASMODEUS,Hero,2,na,3,3.0,0.6666666666666666
ASP II/CLEO,Hero,772,na,63,1953.0,0.39528929851510497
ASSAULT/,Hero,1,na,2,1.0,1.0
ASTARTE,Hero,0,na,1,0.0,
"ASTER, LUCIAN",Hero,2,na,3,3.0,0.6666666666666666
ASTRA,Hero,50,na,14,91.0,0.5494505494505495
ASTRA II,Hero,35,na,10,45.0,0.7777777777777778
ASTROLOGER/,Hero,1,na,2,1.0,1.0
ASTRONOMER,Hero,40,na,11,55.0,0.7272727272727273
"ASTROVIK, ARNOLD",Hero,1,na,2,1.0,1.0
"ASTROVIK, NORMA",Hero,3,na,4,6.0,0.5
ASYLUM II/HENRIQUE M,Hero,1,na,2,1.0,1.0
ASYLUM/,Hero,3,na,3,3.0,1.0
ATALANTA,Hero,55,na,16,120.0,0.4583333333333333
ATALON,Hero,0,na,1,0.0,
ATHENA [GREEK GOD],Hero,19,na,8,28.0,0.6785714285714286
"ATKINSON, MAJ. EDMON",Hero,5,na,4,6.0,0.8333333333333334
ATLAS,Hero,37,na,12,66.0,0.5606060606060606
ATLAS III,Hero,10,na,5,10.0,1.0
ATOM-SMASHER/,Hero,0,na,1,0.0,
ATOM SMASHER II/,Hero,0,na,1,0.0,
ATOM SMASHER/,Hero,6,na,4,6.0,1.0
"ATOR, GENERAL",Hero,34,na,9,36.0,0.9444444444444444
ATTRACTIVE LAD/AUNDR,Hero,15,na,6,15.0,1.0
ATTUMA,Villain,347,na,44,946.0,0.3668076109936575
AUGUST PERSONAGE IN,Hero,7,na,6,15.0,0.4666666666666667
AUNTIE FREEZE/,Hero,5,na,4,6.0,0.8333333333333334
AURA/ANN HERD,Hero,20,na,8,28.0,0.7142857142857143
AURIC/,Hero,70,na,17,136.0,0.5147058823529411
AURORA DOPPELGANGER,Villain,21,na,7,21.0,1.0
AURORA/JEANNE-MARIE,Hero,707,na,83,3403.0,0.20775786071113722
AURORA | MUTANT X-VE,Hero,3,na,3,3.0,1.0
"AUSTIN, GEN.",Hero,0,na,1,0.0,
"AUSTIN, SUSAN",Hero,132,na,22,231.0,0.5714285714285714
"AUSTIN, TERRY",Hero,1,na,2,1.0,1.0
"AUTHIER, POLICE CHIE",Hero,1,na,2,1.0,1.0
"AUTHIER, TRACY TRACE",Hero,1,na,2,1.0,1.0
AUTHORITY/,Hero,15,na,7,21.0,0.7142857142857143
AUTOLYCUS,Hero,6,na,4,6.0,1.0
AVALANCHE/DOMINIC PE,Villain,795,na,75,2775.0,0.2864864864864865
AVANDALIA,Villain,14,na,6,15.0,0.9333333333333333
AVATAR II/PRINCESS A,Hero,0,na,1,0.0,
AVATAR,Hero,1,na,2,1.0,1.0
AVIA,Hero,41,na,13,78.0,0.5256410256410257
AVIOS,Hero,21,na,7,21.0,1.0
AVIUS,Hero,42,na,10,45.0,0.9333333333333333
"AVRIL, SALLY",Hero,18,na,7,21.0,0.8571428571428571
"AVRIL, YVETTE",Hero,3,na,3,3.0,1.0
A,Hero,3,na,3,3.0,1.0
AWESOME ANDROID,Villain,44,na,12,66.0,0.6666666666666666
AXE/,Hero,56,na,15,105.0,0.5333333333333333
AXIS/,Hero,1,na,2,1.0,1.0
"AYALA, AWILDA",Hero,3,na,3,3.0,1.0
"AYALA, FILIPPO",Hero,1,na,2,1.0,1.0
"AYALA, MRS.",Hero,3,na,3,3.0,1.0
"AYALA, NESTOR",Hero,1,na,2,1.0,1.0
AYESHA,Villain,0,na,1,0.0,
A'YIN,Hero,1,na,2,1.0,1.0
AZAZEL,Villain,0,na,1,0.0,
AZAZEL II,Villain,0,na,1,0.0,
AZIR,Hero,1,na,2,1.0,1.0
AZOPARDI,Hero,0,na,1,0.0,
AZOR,Hero,3,na,3,3.0,1.0
AZRAEL,Hero,0,na,1,0.0,
AZURE,Hero,1,na,2,1.0,1.0
BAAL II,Hero,1,na,2,1.0,1.0
BAAL,Hero,3,na,3,3.0,1.0
BACILLUS,Hero,1,na,2,1.0,1.0
"BADALAMENTE, JESUS",Hero,24,na,11,55.0,0.43636363636363634
"BADALINO, LT. MICHAE",Hero,5,na,4,6.0,0.8333333333333334
"BAILEY, GAILYN",Hero,9,na,5,10.0,0.9
"BAILEY, JOEY",Hero,9,na,5,10.0,0.9
"BAILEY, SARA GREY",Hero,51,na,13,78.0,0.6538461538461539
"BAIRD, DR.",Hero,0,na,1,0.0,
"BAKER, ANNE-MARIE",Hero,100,na,19,171.0,0.5847953216374269
BAKER,Hero,0,na,1,0.0,
BALABAN/,Hero,6,na,4,6.0,1.0
BALDER [ASGARDIAN],Hero,567,na,77,2926.0,0.1937799043062201
"BALDWIN, JUSTIN",Hero,3,na,4,6.0,0.5
"BALDWIN, MADELYNE MA",Hero,41,na,15,105.0,0.3904761904761905
"BALE, EMERSON",Hero,16,na,8,28.0,0.5714285714285714
"BALLANTINE, DEVON",Hero,10,na,5,10.0,1.0
"BALLANTINE, KAYLA",Hero,153,na,35,595.0,0.2571428571428571
"BALLANTINE, MR.",Hero,10,na,5,10.0,1.0
"BALLANTINE, MRS.",Hero,10,na,5,10.0,1.0
BALOR,Hero,1,na,2,1.0,1.0
BAMBI,Hero,109,na,22,231.0,0.47186147186147187
"BANCROFT, MARTINE",Hero,5,na,4,6.0,0.8333333333333334
BANDIT/,Hero,1,na,2,1.0,1.0
"BANK, IRVING",Hero,0,na,1,0.0,
"BANKS, SHARON",Hero,38,na,10,45.0,0.8444444444444444
"BANNER, BETTY ROSS T",Hero,420,na,67,2211.0,0.18995929443690637
"BANNERJEE, DR.",Hero,0,na,1,0.0,
"BANNON, LANCE",Hero,285,na,39,741.0,0.38461538461538464
BANSHEE 2013,Hero,3,na,3,3.0,1.0
