,hero,h_type,rel_ct,Comic,Hero,p_rel_ct,density
546,BLACK WIDOW | MUTANT,Hero,4695,261,785,204885,0.022915293945383997
547,BLACK WIDOW/NATASHA,Villain,94343,11973,6260,74950980,0.0012587293721843264
548,"BLACK, CAL",Hero,5836,337,881,296897,0.019656648602040437
549,"BLACK, CYRUS",Hero,13859,1427,1795,2561465,0.005410575588579192
550,"BLACK, RACHEL",Hero,6896,404,1025,414100,0.016652982371407873
551,BLACKBALL,Hero,52951,4816,4086,19678176,0.0026908489892559146
552,BLACKBIRD/,Hero,23756,1855,2408,4466840,0.005318301080853579
553,BLACKBODY,Hero,7279,515,1140,587100,0.012398228581161642
554,BLACKHEART,Villain,51399,5236,4124,21593264,0.002380325642292893
555,BLACKJACK/,Villain,7537,670,1385,927950,0.008122204860175656
556,BLACKOUT II/,Villain,34059,3445,3125,10765625,0.003163680696661829
557,BLACKOUT/MARCUS DANI,Villain,58833,6211,4244,26359484,0.0022319480912448815
558,"BLACKSHEAR, JONAS",Hero,8145,573,1032,591336,0.013773895044441738
559,BLACKWELL,Hero,1819,302,488,147376,0.012342579524481598
560,BLACKWING II/,Hero,16521,1378,1954,2692612,0.006135677921661197
561,BLACKWING/JOSEPH MAN,Hero,53447,5218,4175,21785150,0.002453368464297928
562,"BLACKWOOD, JENNY",Hero,4081,234,758,177372,0.02300814108201971
563,BLACKWULF,Hero,7676,815,1240,1010600,0.007595487829012468
564,BLADE/,Hero,26976,3212,2757,8855484,0.0030462479521164514
565,"BLAIR, CALEY",Hero,2072,320,556,177920,0.01164568345323741
566,"BLAIRE, CARTER",Hero,71238,7573,4868,36865364,0.00193238292723761
567,"BLAKE, BECKY",Hero,59215,6510,4472,29112720,0.0020339906405172723
568,"BLAKE, DR. DONALD",Hero,14931,1182,1539,1819098,0.008207914032119215
569,"BLAKE, DR. DONALD (C",Hero,19955,1520,1985,3017200,0.006613747845684741
570,"BLAKE, EMILY",Hero,3716,374,682,255068,0.014568664042529836
571,"BLAKE, KENT",Hero,16192,1696,1861,3156256,0.005130128861537213
572,"BLANDING, ANDREW",Hero,4975,284,855,242820,0.02048842764187464
573,"BLANDING, HALEY",Hero,4975,284,855,242820,0.02048842764187464
574,"BLANDING, MRS.",Hero,4975,284,855,242820,0.02048842764187464
575,BLAQUESMITH,Hero,63034,6263,4713,29517519,0.002135477578586466
576,BLARE/,Hero,1,1,1,1,1.0
577,BLASTAAR,Villain,71114,7687,4861,37366507,0.001903148185619812
578,BLASTING CAP/,Villain,2486,238,627,149226,0.016659295297066196
579,"BLAZE, CRAIG",Hero,7728,858,1265,1085370,0.007120152574698029
580,"BLAZE, EMMA",Hero,7728,858,1265,1085370,0.007120152574698029
581,"BLAZE, ROXANNE SIMPS",Hero,42150,4286,3739,16025354,0.0026302071080613883
582,BLAZING SKULL/MARK T,Hero,36422,3500,3138,10983000,0.003316215970135664
583,"BLESSING, MORGANA",Hero,34077,3404,3309,11263836,0.0030253458945957664
584,BLIND AL/ALTHEA,Hero,31080,2787,3016,8405592,0.0036975384958013663
585,BLINDSIDE II/BOBBI C,Hero,17775,1347,1853,2495991,0.007121419908966018
586,"BLINK/FERGUSON, CLAR",Hero,6257,453,878,397734,0.015731619625176625
587,BLISS,Hero,16362,1066,1699,1811134,0.009034118955306454
588,"BLISS, BONNIE",Hero,1017,89,281,25009,0.04066536047023072
589,"BLISS, MISS",Hero,27823,2504,2606,6525424,0.004263784238388187
590,BLITZIANA,Hero,33739,3184,2824,8991616,0.003752273228749982
591,BLITZKRIEG/,Villain,85423,10210,5704,58237840,0.001466795471810081
592,BLIZZARD II/DONALD G,Villain,34677,3237,3241,10491117,0.0033053677697045987
593,BLIZZARD/PROF. GREGO,Villain,50335,5515,3934,21696010,0.0023200118362777305
594,BLOB/FRED J. DUKES,Villain,89221,10572,5994,63368568,0.0014079693263701336
595,BLOCKADE/DEXTER PARI,Hero,10777,1008,1735,1748880,0.006162229541192077
596,BLOCKBUSTER II,Villain,17391,1334,1920,2561280,0.006789964392803599
597,BLOCKBUSTER III/MICH,Villain,36864,3102,3222,9994644,0.0036883754939145406
598,BLOCKBUSTER/,Villain,25510,2281,2577,5878137,0.0043398103855013925
599,BLOK,Hero,15106,1154,1616,1864864,0.00810032259725106
600,BLOKE/MICKEY TORK,Hero,12830,802,1424,1142048,0.011234203816301943
601,BLOOD BROTHERS,Villain,76127,8600,5200,44720000,0.001702303220035778
602,BLOOD SPIDER/,Hero,17046,1776,1940,3445440,0.0049474087489551405
603,BLOOD WRAITH/SEAN DO,Hero,41075,4067,3300,13421100,0.003060479394386451
604,BLOOD-TIDE,Hero,417,69,148,10212,0.040834312573443006
605,BLOODAXE/JACKIE LUKU,Villain,60155,6373,4336,27633328,0.0021769002995223738
606,BLOODHOUND/,Hero,5020,452,879,397308,0.012635033777321373
607,BLOODLUST,Villain,43206,3992,3565,14231480,0.003035945664119262
608,BLOODSCREAM,Hero,44460,4546,3562,16192852,0.002745655922749124
609,BLOODSHED/WYNDELL DI,Hero,15410,1586,1769,2805634,0.005492519694300825
610,BLOODSTONE/ULYSSES B,Hero,33730,2992,3186,9532512,0.0035384167363230173
611,BLOODSTORM | MUTANT,Hero,13756,941,1716,1614756,0.008518934129986203
612,BLOODSTRIKE/ERIC CON,Hero,23545,2181,2523,5502663,0.004278837355658524
613,"BLOODVESSEL, BUSTA",Hero,610,67,210,14070,0.0433546552949538
614,BLOODWING [SHI'AR],Hero,5664,465,921,428265,0.013225456201183846
615,BLOODWRAITH/SEAN DOL,Hero,28373,2614,2661,6955854,0.0040790102839996355
