hero,h_type,rel_ct,node_type,node_ct,p_rel_ct,density
ASTROLOGER/,Hero,2385,na,214,22791.0,0.10464657101487429
ASTRONOMER,Hero,2687,na,235,27495.0,0.0977268594289871
"ASTROVIK, ARNOLD",Hero,289,na,38,703.0,0.41109530583214793
"ASTROVIK, NORMA",Hero,587,na,80,3160.0,0.18575949367088607
ASYLUM II/HENRIQUE M,Hero,1,na,2,1.0,1.0
ASYLUM/,Hero,173,na,31,465.0,0.3720430107526882
ATALANTA,Hero,2227,na,181,16290.0,0.13670963781461018
ATALON,Hero,0,na,1,0.0,
ATHENA [GREEK GOD],Hero,2678,na,244,29646.0,0.09033259124333806
"ATKINSON, MAJ. EDMON",Hero,2997,na,258,33153.0,0.09039905890869604
ATLAS,Hero,3195,na,273,37128.0,0.08605365223012282
ATLAS III,Hero,178,na,39,741.0,0.24021592442645073
ATOM-SMASHER/,Hero,0,na,1,0.0,
ATOM SMASHER II/,Hero,0,na,1,0.0,
ATOM SMASHER/,Hero,1373,na,110,5995.0,0.22902418682235196
"ATOR, GENERAL",Hero,2994,na,261,33930.0,0.08824049513704686
ATTRACTIVE LAD/AUNDR,Hero,1960,na,147,10731.0,0.182648401826484
ATTUMA,Villain,6397,na,552,152076.0,0.04206449406875509
AUGUST PERSONAGE IN,Hero,1812,na,186,17205.0,0.10531822144725371
AUNTIE FREEZE/,Hero,1386,na,111,6105.0,0.22702702702702704
AURA/ANN HERD,Hero,2380,na,216,23220.0,0.1024978466838932
AURIC/,Hero,4755,na,375,70125.0,0.06780748663101605
AURORA DOPPELGANGER,Villain,1221,na,131,8515.0,0.1433940105695831
AURORA/JEANNE-MARIE,Hero,6701,na,601,180300.0,0.03716583471991126
AURORA | MUTANT X-VE,Hero,104,na,29,406.0,0.2561576354679803
"AUSTIN, GEN.",Hero,0,na,1,0.0,
"AUSTIN, SUSAN",Hero,4521,na,363,65703.0,0.06880964339527876
"AUSTIN, TERRY",Hero,71,na,18,153.0,0.46405228758169936
"AUTHIER, POLICE CHIE",Hero,1,na,2,1.0,1.0
"AUTHIER, TRACY TRACE",Hero,1,na,2,1.0,1.0
AUTHORITY/,Hero,2618,na,233,27028.0,0.09686251294953381
AUTOLYCUS,Hero,1476,na,145,10440.0,0.1413793103448276
AVALANCHE/DOMINIC PE,Villain,6293,na,545,148240.0,0.04245143011332973
AVANDALIA,Villain,1405,na,141,9870.0,0.14235055724417425
AVATAR II/PRINCESS A,Hero,0,na,1,0.0,
AVATAR,Hero,52,na,12,66.0,0.7878787878787878
AVIA,Hero,3371,na,268,35778.0,0.09421991167756721
AVIOS,Hero,2538,na,236,27730.0,0.09152542372881356
AVIUS,Hero,2919,na,232,26796.0,0.10893416927899686
"AVRIL, SALLY",Hero,2982,na,254,32131.0,0.09280756901434752
"AVRIL, YVETTE",Hero,2964,na,245,29890.0,0.09916359986617598
A,Hero,573,na,61,1830.0,0.31311475409836065
AWESOME ANDROID,Villain,3504,na,265,34980.0,0.10017152658662093
AXE/,Hero,3684,na,285,40470.0,0.0910303928836175
AXIS/,Hero,2,na,3,3.0,0.6666666666666666
"AYALA, AWILDA",Hero,2126,na,202,20301.0,0.10472390522634353
"AYALA, FILIPPO",Hero,13,na,9,36.0,0.3611111111111111
"AYALA, MRS.",Hero,2126,na,202,20301.0,0.10472390522634353
"AYALA, NESTOR",Hero,1968,na,194,18721.0,0.10512258960525613
AYESHA,Villain,0,na,1,0.0,
A'YIN,Hero,287,na,40,780.0,0.367948717948718
AZAZEL,Villain,0,na,1,0.0,
AZAZEL II,Villain,0,na,1,0.0,
AZIR,Hero,4,na,5,10.0,0.4
AZOPARDI,Hero,0,na,1,0.0,
AZOR,Hero,431,na,52,1326.0,0.3250377073906486
AZRAEL,Hero,0,na,1,0.0,
AZURE,Hero,43,na,15,105.0,0.4095238095238095
BAAL II,Hero,214,na,31,465.0,0.46021505376344085
BAAL,Hero,620,na,66,2145.0,0.289044289044289
BACILLUS,Hero,1,na,2,1.0,1.0
"BADALAMENTE, JESUS",Hero,910,na,105,5460.0,0.16666666666666666
"BADALINO, LT. MICHAE",Hero,26,na,12,66.0,0.3939393939393939
"BAILEY, GAILYN",Hero,776,na,89,3916.0,0.19816138917262513
"BAILEY, JOEY",Hero,776,na,89,3916.0,0.19816138917262513
"BAILEY, SARA GREY",Hero,2661,na,240,28680.0,0.09278242677824268
"BAIRD, DR.",Hero,0,na,1,0.0,
"BAKER, ANNE-MARIE",Hero,4239,na,363,65703.0,0.06451760193598466
BAKER,Hero,0,na,1,0.0,
BALABAN/,Hero,940,na,118,6903.0,0.1361726785455599
BALDER [ASGARDIAN],Hero,6516,na,553,152628.0,0.042692035537385015
"BALDWIN, JUSTIN",Hero,2439,na,222,24531.0,0.09942521707227589
"BALDWIN, MADELYNE MA",Hero,5257,na,414,85491.0,0.0614918529435847
"BALE, EMERSON",Hero,4164,na,349,60726.0,0.06857029937753187
"BALLANTINE, DEVON",Hero,173,na,37,666.0,0.25975975975975973
