,hero,h_type,rel_ct,Comic,Hero,p_rel_ct,density
277,AURORA/JEANNE-MARIE,Hero,14956,2996,601,1800596,0.00830613863409671
278,"AUSTIN, GEN.",Hero,2,2,1,2,1.0
279,"AUSTIN, SUSAN",Hero,7429,1059,363,384417,0.019325368024827205
280,"AUSTIN, TERRY",Hero,121,29,18,522,0.23180076628352492
281,"AUTHIER, POLICE CHIE",Hero,15,11,2,22,0.6818181818181818
282,"AUTHIER, TRACY TRACE",Hero,16,9,2,18,0.8888888888888888
283,AUTHORITY/,Hero,4656,742,233,172886,0.02693104126418565
284,AUTOLYCUS,Hero,2458,314,145,45530,0.053986382604875906
285,AVALANCHE/DOMINIC PE,Villain,13148,2443,545,1331435,0.009875059616128463
286,AVANDALIA,Villain,2096,243,141,34263,0.0611738610162566
287,AVATAR,Hero,103,17,12,204,0.5049019607843137
288,AVATAR II/PRINCESS A,Hero,2,2,1,2,1.0
289,AVIA,Hero,5616,577,268,154636,0.036317545720272126
290,AVIOS,Hero,3818,379,236,89444,0.042685926389696344
291,AVIUS,Hero,4552,450,232,104400,0.04360153256704981
292,"AVRIL, SALLY",Hero,5323,807,254,204978,0.025968640537033242
293,"AVRIL, YVETTE",Hero,4107,421,245,103145,0.039817732318580636
294,AWESOME ANDROID,Villain,5354,552,265,146280,0.03660103910308996
295,AXE/,Hero,5715,573,285,163305,0.0349958666299256
296,AXIS/,Hero,7,3,3,9,0.7777777777777778
297,"AYALA, AWILDA",Hero,3781,607,202,122614,0.030836609196339734
298,"AYALA, FILIPPO",Hero,78,52,9,468,0.16666666666666666
299,"AYALA, MRS.",Hero,3777,603,202,121806,0.031008324713068323
300,"AYALA, NESTOR",Hero,3537,577,194,111938,0.031597848809162214
301,AYESHA,Villain,2,2,1,2,1.0
302,AZAZEL,Villain,1,1,1,1,1.0
303,AZAZEL II,Villain,1,1,1,1,1.0
304,AZIR,Hero,24,12,5,60,0.4
305,AZOPARDI,Hero,1,1,1,1,1.0
306,AZOR,Hero,572,61,52,3172,0.18032786885245902
307,AZRAEL,Hero,1,1,1,1,1.0
308,AZURE,Hero,87,21,15,315,0.2761904761904762
309,B'ARR,Hero,1035,65,82,5330,0.19418386491557224
310,B'GON,Hero,1,1,1,1,1.0
311,"B'KOSA, GEN. JONATHA",Hero,6,3,2,6,1.0
312,BAAL,Hero,940,94,66,6204,0.15151515151515152
313,BAAL II,Hero,376,49,31,1519,0.24753127057274524
314,BACILLUS,Hero,9,5,2,10,0.9
315,"BADALAMENTE, JESUS",Hero,1493,224,105,23520,0.06347789115646259
316,"BADALINO, LT. MICHAE",Hero,87,27,12,324,0.26851851851851855
317,"BAILEY, GAILYN",Hero,1142,129,89,11481,0.09946868739656824
318,"BAILEY, JOEY",Hero,1142,129,89,11481,0.09946868739656824
319,"BAILEY, SARA GREY",Hero,4312,513,240,123120,0.0350227420402859
320,"BAIRD, DR.",Hero,1,1,1,1,1.0
321,BAKER,Hero,2,2,1,2,1.0
322,"BAKER, ANNE-MARIE",Hero,8170,1416,363,514008,0.015894694246003954
323,BALABAN/,Hero,1341,135,118,15930,0.08418079096045197
324,BALDER [ASGARDIAN],Hero,14457,2789,553,1542317,0.009373559391486964
325,"BALDWIN, JUSTIN",Hero,3476,281,222,62382,0.055721201628674936
326,"BALDWIN, MADELYNE MA",Hero,8905,1176,414,486864,0.018290528771895232
327,"BALE, EMERSON",Hero,6851,1020,349,355980,0.01924546322827125
328,"BALLANTINE, DEVON",Hero,323,51,37,1887,0.17117117117117117
329,"BALLANTINE, KAYLA",Hero,9689,1401,454,636054,0.015232983363047792
330,"BALLANTINE, MR.",Hero,322,50,37,1850,0.17405405405405405
331,"BALLANTINE, MRS.",Hero,322,50,37,1850,0.17405405405405405
332,BALOR,Hero,131,30,20,600,0.21833333333333332
333,BAMBI,Hero,8186,1460,359,524140,0.01561796466592895
334,"BANCROFT, MARTINE",Hero,3705,649,202,131098,0.02826130070634182
335,BANDIT/,Hero,7,5,2,10,0.7
336,"BANK, IRVING",Hero,1,1,1,1,1.0
337,"BANKS, SHARON",Hero,7706,1144,337,385528,0.0199881720653234
338,"BANNER, BETTY ROSS T",Hero,14654,3033,570,1728810,0.008476350784643772
339,"BANNERJEE, DR.",Hero,1,1,1,1,1.0
340,"BANNON, LANCE",Hero,10287,1811,424,767864,0.013396903618349082
341,BANSHEE 2013,Hero,500,43,56,2408,0.20764119601328904
342,BANSHEE II,Hero,2596,274,167,45758,0.05673324883080554
343,BANSHEE/SEAN CASSIDY,Hero,13010,2364,552,1304928,0.009969898722381618
344,BANTAM/,Hero,978,103,80,8240,0.11868932038834952
345,"BANTOCK, LT. OLIVER",Hero,560,95,62,5890,0.09507640067911714
346,"BAPTISTE, TANTE MATT",Hero,1,1,1,1,1.0
347,BARAK,Hero,486,46,40,1840,0.26413043478260867
348,"BARBAROSSA, MARIO",Hero,308,46,30,1380,0.22318840579710145
349,"BARBAROSSA, VINNIE",Hero,3988,479,241,115439,0.03454638380443351
350,BARBARUS,Villain,8594,1214,391,474674,0.018105057365686766
351,BARIUM,Hero,4238,311,200,62200,0.06813504823151126
352,BARKER,Hero,3637,613,195,119535,0.03042623499393483
353,"BARKER, MATTHEW T.",Hero,103,14,17,238,0.4327731092436975
354,BARNACLE/,Hero,3010,291,171,49761,0.06048913808002251
355,"BARNETT, MIKE",Hero,3256,351,189,66339,0.04908123426641945
356,BARON BLOOD II/VICTO,Villain,7207,1251,348,435348,0.016554572434006817
357,BARON BLOOD/JOHN FAL,Villain,6671,981,351,344331,0.019373800209681963
358,BARON BRIMSTONE/,Hero,4483,325,222,72150,0.062134442134442136
359,BARON MACABRE/,Hero,15,8,3,24,0.625
360,BARON MORDO/KARL MOR,Villain,9794,1675,422,706850,0.013855839286977435
361,BARON SAMEDI,Hero,1,1,1,1,1.0
362,BARON STRUCKER/WOLFG,Villain,11605,1970,505,994850,0.011665075136955319
363,BARON ZEBEK,Hero,34,5,8,40,0.85
364,BARONESS ZEMO/HEIKE,Villain,5372,545,288,156960,0.03422528032619776
365,BARRACUDA/,Villain,5,2,2,4,1.25
366,BARRAGE,Hero,2738,320,147,47040,0.05820578231292517
367,"BARRANCO, MARIA ESME",Hero,176,22,26,572,0.3076923076923077
368,"BARRENOS, OMAR",Hero,552,37,52,1924,0.2869022869022869
369,BARRIER/,Hero,1055,66,81,5346,0.19734380845491956
370,BARRINGTON,Hero,217,22,29,638,0.3401253918495298
371,"BARRON, RICK",Hero,2,2,1,2,1.0
372,"BARROWS, WALTER",Hero,1,1,1,1,1.0
373,"BARTLETT, STU",Hero,1607,130,100,13000,0.12361538461538461
374,"BARTON, SEN.",Hero,303,52,38,1976,0.1533400809716599
375,BARTOS,Hero,351,57,41,2337,0.15019255455712452
376,BASALLO/LAVA MEN KIN,Hero,47,10,9,90,0.5222222222222223
377,BASALTAR,Hero,351,57,41,2337,0.15019255455712452
378,BASILISK II,Villain,3,1,2,2,1.5
379,BASILISK III/,Villain,3515,400,218,87200,0.04030963302752293
380,BASILISK/BASIL ELKS,Villain,4897,696,252,175392,0.027920315635832877
381,BATAL/,Hero,1,1,1,1,1.0
382,BATROC/GEORGES BATRO,Villain,13175,2434,529,1287586,0.01023232622908295
383,BATTERING RAM,Hero,6,2,3,6,1.0
384,BATTERY/,Hero,7,3,2,6,1.1666666666666667
385,"BATTLE, MONTGOMERY",Hero,3827,313,199,62287,0.06144139226483857
386,BATTLEAXE II/JEROME,Hero,2857,265,181,47965,0.05956426561034087
387,BATTLEAXE/,Hero,6182,509,287,146083,0.04231840802831267
388,BATTLESTAR/LEMAR HOS,Hero,11383,1761,470,827670,0.013753065835417497
389,BATWING/,Hero,4509,652,227,148004,0.030465392827220886
390,BAV-TEK,Hero,1,1,1,1,1.0
391,BAXTER,Hero,1,1,1,1,1.0
392,"BAXTER, ABIGAIL",Hero,2088,165,125,20625,0.10123636363636364
393,"BAXTER, NOAH",Hero,4355,461,224,103264,0.04217345832042144
394,"BAYLOR, FRANK",Hero,1,1,1,1,1.0
395,BAYMAX,Hero,4052,348,203,70644,0.057358020497140595
396,"BAZIN, ALLEGRA",Hero,1082,74,77,5698,0.1898911898911899
397,"BAZIN, ANDREW",Hero,680,23,52,1196,0.568561872909699
398,"BAZIN, BRODERICK RIC",Hero,1077,69,77,5313,0.20271033314511575
399,"BAZIN, PHILLIPPE",Hero,1470,148,97,14356,0.10239621064363333
400,"BEACH, GINGER",Hero,7575,715,371,265265,0.028556349311066292
401,"BEACH, SPIDER",Hero,7575,714,371,264894,0.02859634419805658
402,"BEALE, ERIC",Hero,544,44,52,2288,0.23776223776223776
403,BEAR/,Hero,2542,283,150,42450,0.05988221436984688
404,BEAST 2013,Hero,1,1,1,1,1.0
405,BEAST DOPPELGANGER,Villain,7727,1095,395,432525,0.017864863302699267
