,hero,h_type,rel_ct,node_type,node_ct,p_rel_ct,density
160,ANTORO,Hero,109820,na,2714,3681541.0,0.02982990003370871
161,ANTRO,Hero,135689,na,3534,6242811.0,0.021735240743312588
162,"ANUBAR, ANWAR",Hero,81261,na,1707,1456071.0,0.05580840494728623
163,ANUBIA,Hero,29739,na,698,243253.0,0.12225542953221542
164,ANVIL/JOHNNY ANVIL,Hero,117028,na,2862,4094091.0,0.028584611333749056
165,APE MAN/GORDON MONK,Villain,157993,na,4962,12308241.0,0.01283635898907082
166,APE MAN II/ROY MCVEY,Villain,121936,na,2913,4241328.0,0.02874948601004214
167,APE/,Villain,117326,na,2840,4031380.0,0.029103185509676586
168,APE-X/XINA,Hero,16952,na,344,58996.0,0.2873415146789613
169,APOCALYPSE/EN SABAH,Villain,165664,na,5595,15649215.0,0.010586090101005067
170,APOCALYPSE | MUTANT,Villain,42185,na,800,319600.0,0.13199311639549438
171,APOCRYPHUS,Hero,134948,na,3652,6666726.0,0.02024201984602337
172,APOLLO [GREEK GOD],Hero,134625,na,3492,6095286.0,0.022086740474524084
173,APOSTATE,Hero,90669,na,1897,1798356.0,0.05041771484622622
174,APPALLA,Hero,60858,na,1202,721801.0,0.08431409765295421
175,"APPLEBAUM, PHANTASY",Hero,84582,na,1918,1838403.0,0.046008410560687725
176,AQUARIAN/WUNDARR,Hero,160205,na,5266,13862745.0,0.011556513518787224
177,AQUARIUS/DARREN BENT,Villain,130280,na,3468,6011778.0,0.02167079356556413
178,AQUARIUS III/,Villain,39326,na,705,248160.0,0.15847034171502256
179,AQUARIUS II/,Villain,105510,na,2507,3141271.0,0.03358831504827186
180,ARABIAN KNIGHT/ABDUL,Hero,165365,na,5730,16413585.0,0.010074886138524886
181,ARACHNE,Hero,135689,na,3534,6242811.0,0.021735240743312588
182,ARAGORN,Hero,156905,na,4980,12397710.0,0.012655966303454428
183,ARAKI II,Hero,107583,na,2346,2750685.0,0.03911134862770546
184,ARAKI [SHI'AR],Hero,150240,na,4490,10077805.0,0.0149080082418741
185,"ARBOGAST, BAMBI",Hero,155347,na,4946,12228985.0,0.012703180190342861
186,ARCADE/,Villain,148538,na,4390,9633855.0,0.015418334612675819
187,ARCADIUS,Hero,122686,na,2960,4379320.0,0.028014851620799575
188,ARCANNA/ARCANNA JONE,Hero,155792,na,4940,12199330.0,0.01277053739836532
189,ARCHAEOPTERYX/TONAJA,Hero,94962,na,2034,2067561.0,0.045929479226973234
190,ARCHER/JUDE BLACK,Hero,81455,na,1655,1368685.0,0.05951332848683225
191,"ARCHER, ULYSSES SAMS",Hero,88389,na,1789,1599366.0,0.055265023765667144
192,ARCLIGHT/PHILLIPA SO,Villain,147959,na,4161,8654880.0,0.017095442108960492
193,ARCTURUS,Hero,88657,na,1872,1751256.0,0.050624808708721054
194,ARES [GREEK GOD],Villain,149488,na,4368,9537528.0,0.015673663028826758
195,AREX,Hero,106577,na,2365,2795430.0,0.03812544045102185
196,ARGOS,Hero,40713,na,893,398278.0,0.1022225681559112
197,"ARGOSY, HERVE",Hero,3910,na,144,10296.0,0.37975912975912973
198,ARIANE,Hero,10565,na,254,32131.0,0.32881018331206624
199,ARIA,Hero,130735,na,3262,5318691.0,0.0245802961668576
200,ARIDES,Hero,97776,na,2008,2015028.0,0.048523395208404055
201,ARIEL II,Hero,119028,na,2777,3854476.0,0.03088046209134523
202,ARIES II/GROVER RAYM,Hero,124481,na,3147,4950231.0,0.025146503264191107
203,ARIES III/,Hero,39326,na,705,248160.0,0.15847034171502256
204,ARIES/MARCUS LASSITE,Hero,143185,na,4187,8763391.0,0.016338994802354477
205,ARISHEM [CELESTIAL],Hero,159894,na,5186,13444705.0,0.011892711666042504
206,ARIZE,Hero,123211,na,3110,4834495.0,0.025485805652917214
207,"ARKANIAN, GLIB",Hero,51118,na,912,415416.0,0.12305255454773047
208,ARKON,Hero,152893,na,4646,10790335.0,0.014169439595712274
209,ARKO,Hero,67170,na,1270,805815.0,0.08335660170138307
210,"ARLINGTON, DR. MARCU",Hero,89460,na,2031,2061465.0,0.043396322518209136
211,ARLISSE,Hero,89588,na,1835,1682695.0,0.053240783386175154
212,ARMADA II/,Hero,83116,na,1946,1892485.0,0.04391897425871275
