,hero,h_type,rel_ct,node_type,node_ct,p_rel_ct,density
431,BELLADONNA,Hero,54,na,12,66.0,0.8181818181818182
432,BELLAM,Hero,595,na,40,780.0,0.7628205128205128
433,BELLE,Hero,45,na,10,45.0,1.0
434,"BELL, HERBERT",Hero,45,na,11,55.0,0.8181818181818182
435,BENAZA,Hero,10,na,5,10.0,1.0
436,BENCHLEY,Hero,120,na,16,120.0,1.0
437,"BENDIX, DR. ALBERT",Hero,41,na,10,45.0,0.9111111111111111
438,BENEDICT,Hero,578,na,37,666.0,0.8678678678678678
439,"BENEDICT, ANDREW",Hero,105,na,15,105.0,1.0
440,BENGAL/,Hero,646,na,48,1128.0,0.5726950354609929
441,"BENJAMIN, BYRON",Hero,210,na,25,300.0,0.7
442,"BENNETT, DANNY",Hero,55,na,11,55.0,1.0
443,"BENNETT, MITCH",Hero,55,na,11,55.0,1.0
444,"BENNING, VERONICA",Hero,296,na,30,435.0,0.6804597701149425
445,"BENNY, JAKE",Hero,36,na,9,36.0,1.0
446,"BENTLEY, MILES",Hero,63,na,12,66.0,0.9545454545454546
447,"BENTLEY, VICTORIA",Hero,412,na,45,990.0,0.4161616161616162
448,"BENTON, TERRY",Hero,136,na,17,136.0,1.0
449,"BENWAY, DR.",Hero,164,na,19,171.0,0.9590643274853801
450,"BERDITCHEV, ITZHAK",Hero,28,na,8,28.0,1.0
451,BEREET,Hero,5135,na,117,6786.0,0.7567049808429118
452,"BERENGHETTI, MICHAEL",Hero,154,na,21,210.0,0.7333333333333333
453,"BERENGHETTI, SUSAN",Hero,244,na,24,276.0,0.8840579710144928
454,"BERGER, PROF.",Hero,356,na,30,435.0,0.8183908045977012
455,"BERGIER, REBECCA",Hero,291,na,35,595.0,0.4890756302521008
456,"BERGLUND, GEN.",Hero,78,na,13,78.0,1.0
457,"BERKELEY, TRAVIS",Hero,178,na,24,276.0,0.644927536231884
458,"BERMAN, ADAM",Hero,15,na,6,15.0,1.0
459,BERNARD THE POET,Hero,1863,na,70,2415.0,0.7714285714285715
460,"BERNHARD, CLARICE",Hero,28,na,8,28.0,1.0
