ABOMINATION | MUTANT
SANDMAN DOPPELGANGER
"SMYTHE, ALISTAIR ALP"
STORM DOPPELGANGER
STORM DOPPELGANGER I
THANOS DOPPELGANGER
THING DOPPELGANGER
THING DOPPELGANGER I
"TRASK, DR. BOLIVAR"
TRITON DOPPELGANGER
USAGENT DOPPELGANGER
VENOM/EDDIE BROCK
VISION DOPPELGANGER
VULTURE II/BLACKIE D
WAR TOY/ALKHEMA
ZEMO/BARON HEINRICH
"ZOLA, ARNIM"
"ZOLA, ARNIM II"
FAMINE | MUTANT X-VE
FAMINE/AUTUMN ROLFSO
FANCY DAN
FENRIS
FEROCIA/
FEVER PITCH/
FIN FANG FOOM | MUTA
FIN FANG FOOM/MIDGAR
FIRELORD/PYREUS KRIL
FIXER II/PAUL NORBER
FIXER/SWEENEY
FLAG-SMASHER
FLAME
FLAME II
FLUX/PRIVATE BENNY T
FOLD
FOOLKILLER II/GREG S
FOOLKILLER III/KURT
FOOLKILLER/ROSS EVER
FROG-MAN II/EUGENE P
FROST
FU MANCHU
SCHEMER/RICHARD FISK
"CORTEZ, FABIAN"
FER DE LANCE/TERESA
FIRE EATER/TOMAS
GALACTUS/GALAN
GAMESMASTER/JEREMY
GARGOUILLE/
GAROKK
GARTHAN SAAL
GAZA
GEIST
GEMINI/JOSHUA LINK
GENESIS/TYLER DAYSPR
GHOST
GIBBON/MARTIN BLANK
GIGANTO
GLADIATOR II
GLADIATOR/MELVIN POT
GLADIATRIX
GOG
GOG II
GOG III
GOLDBUG
GORGON [INHUMAN]
GORGON | MUTANT X-VE
GRANDMASTER/EN DWI G
"GRANT, GLORIA GLORY"
GRAVITON/FRANK HALL
GREEN GOBLIN III/BAR
GREEN GOBLIN IV/PHIL
GREEN GOBLIN V/
GREEN GOBLIN | MUTAN
GREEN GOBLIN/NORMAN
GREMLIN/
GRENDEL'S MOTHER
GREY GARGOYLE/PAUL P
GRIFFIN
GRIFFIN II/JOHNNY HO
GRIFFIN III
GRIM REAPER/ERIC WIL
GRIZZLY II/THEODORE
GRIZZLY/MAXWELL MARK
GROTESK
GROWING MAN
"CREED, GRAYDON"
"CREED, GRAYDON | MUT"
GORILLA-MAN
"TALBOT, GLENN"
"RYKER, GENERAL"
HAMMERHEAD
HANGMAN
HANGMAN II/JASON ROL
HARPOON
HARPY II
HATE-MONGER II
HATE-MONGER IV
HATE-MONGER V
HATE-MONGER/ADOLF HI
HELA [ASGARDIAN]
HELLFIRE/MIKAL DRAGO
HEMINGWAY
HERA/AUGUSTINE JONES
"LELAND, HARRY"
"OSBORN, HARRY"
"MEACHUM, HAROLD"
ICONOCLAST
"IMMORTUS, MARCUS"
IMPALA/
IMPOSSIBLE MAN
IN-BETWEENER
INFINITY THRALL
IRON CROSS/HELMUT GR
IRONCLAD
ION/
JACKAL II/WARREN
JACKAL/MILES WARREN
JAVITZ
JESTER II
JESTER III
JESTER/JONATHAN POWE
JIGSAW
JOYSTICK/JANICE
JUGGERNAUT | MUTANT
JUGGERNAUT/CAIN MARK
"JAMESON, J. JONAH"
JACK O'LANTERN II/MA
"BRADDOCK, JAMES"
"BRADDOCK, JAMES JR."
"SITWELL, JASPER"
"GARRETT, JOHN"
"QUESADA, JOE"
"TRAVELLER, DR. JUDAS"
"HAMMER, JUSTIN"
KAINE
KALUU
KAMAL
KARNILLA [ASGARDIAN]
KILLER SHRIKE/SIMON
KINGPIN/WILSON FISK
KIRIGI
KLAW/ULYSSES KLAW
KORATH THE PURSUER
"KORVAC, MICHAEL"
KRAKEN
KRAKOA
KRAVEN THE HUNTER II
KRAVEN THE HUNTER/SE
KREE CAPTAIN AMERICA
KREE GIANT MAN [KREE
KREE IRON MAN [KREE]
KREE SCARLET WITCH [
KULAN GATH
KURSE/ALGRIM [ASGARD
MINERVA [KREE]
"MALUS, DR. KARL"
"DEWITT, KEARSON"
"KLEINSTOCK, HARLAN"
"KLEINSTOCK, SVEN"
LADY DEATHSTRIKE/YUR
LASHER/
LEAP-FROG/VINCENT PA
LEGION
LEGION II/DAVID HALL
OWL/LELAND OWLSLEY
LEADER/SAM STERNS
"LE FEY, MORGAN"
MACHETE/FERDINAND LO
MAD VIKING/KNUT CAIN
MADAME MASQUE II/
MADAME MASQUE III
MADAME MASQUE IV
MADAME MASQUE V
MADAME MASQUE VI
MADAME MASQUE/GIULIE
MADCAP
MAELSTROM/MALCOLM ST
MAESTRO
MAGNETO | MUTANT X-V
MAGNETO/MAGNUS/ERIC
MAGUS
MAGUS II
MAJESTON ZELIA
MAJOR DOMO
MALACHI
MALICE
MALICE II
MALICE III
MALICE IV
MALICE V/NAKIA
MAN-APE/M'BAKU
MAN-BEAST
MAN-SPIDER CLONE | M
MAN-SPIDER | MUTANT
MANDARIN
"MANDARIN, JAMES"
MANDRILL/HENSLEY FAR
MANGOG
MANTIS (SPACE PHANTO
MANTIS/? BRANDT
MARROW/SARAH
MASKED MARAUDER/FRAN
MASTER KHAN/TYRONE K
MASTER MAN II/ALEXAN
MASTER MAN/WILHELM L
MASTER MOLD
MASTER MOLD II
MASTER MOLD III
MASTER ORDER
MASTER PANDEMONIUM/M
MASTERMIND II/BOWERS
MASTERMIND III
MASTERMIND IV/MARTIN
MASTERMIND V
MASTERMIND/JASON WYN
MATADOR/MANUEL ELOGA
MAXIMUS [INHUMAN]
MAYHEM/DET. BRIGID O
MEDUSA II
MEDUSA | MUTANT X-VE
MEDUSA/MEDUSALITH AM
MEGATAK
MELTER II/BRUNO HORG
MELTER/BRUNO HORGAN
MENTALLO
MEPHISTA
MEPHISTO
MERCURY
MERCURY II
MERCURY III/
MERCY
MESMERO
MIDNIGHT'S FIRE/
MILAN
MINDBLAST
MIRACLE MAN
MISFIT/
MISTER CLEAN
MODOK/GEORGE TARLETO
MOJO
MOJO II
MOLE MAN | MUTANT X-
MOLE MAN/HARVEY RUPE
MOLECULE MAN/OWEN RE
MOLTEN MAN/MARK RAXT
MONDO
MONDO II
MONGOOSE
MONTANA
MONTANA II
MOONSTONE II/KARLA S
MOONSTONE/LLOYD BLOC
MORBIUS/DR. MICHAEL
MORG
MORLUN
MR. PAYBACK/
MYSTERIA/
MYSTERIO II/DANIEL B
MYSTERIO/QUENTIN BEC
MYSTIQUE | MUTANT X-
MYSTIQUE/RAVEN DARKH
MODAM
"GNUCCI, MA"
MADAME HYDRA VI
MADAME SLAY
MALEKITH/MALCOLM KEI
SATAN/MARDU KURIOS
"MARTINEZ, AKASHA"
PUPPET MASTER/PHILLI
"TSURAYABA, MATSUO"
4-D MAN/MERCURIO
"RASPUTIN, MIKHAIL"
MR. FEAR III/PROF. L
MR. FEAR IV/ALAN FAG
MR. FEAR V/
MR. FEAR/ZOLTAN DRAG
MR. JIP
MR. SINISTER | AOA
MR. SINISTER | MUTAN
MR. SINISTER/NATHAN
MR. X
"MAGNUM, MOSES"
MISTER HYDE/CALVIN Z
N'ASTIRH
NAMORA/AQUARIA NAUTI
NANNY
NANNY II
NEBULA
NEBULON
NEKRA/ADRIENNE HATRO
NEMESIS
NEW SUN
NIGHTHAWK II/KYLE RI
NIGHTHAWK III/NEAL
NIGHTHAWK/KYLE RICHM
NIGHTMARE/EDVARD HAB
NIMROD
NIMROD III
NINJA/
NITRO/ROBERT L. HUNT
NUKE
NUMBER ONE FAN/PROF.
OBLITERATOR II
OBLITERATOR [ELDER]
OBLIVION
OCCULUS
ODDBALL/ELTON HEALEY
OGRESS/
OMEGA RED/ARKADY ROS
ONSLAUGHT
ONSLAUGHT II
ORKA
ORPHAN-MAKER/PETER
OVERMIND/GROM
OVERRIDER/
OZYMANDIAS
"STANE, OBADIAH"
"PAIBOK, CAPT. [SKRUL"
PALADIN/PAUL DENNIS
PANDEMONIA
PARADIGM
PAST MASTER/PROFESSO
PERRIKUS
PHAT/BILLY BOB REILL
PIECEMEAL/GILBERT BE
PILEDRIVER
PILEDRIVER II/BRIAN
PILGRIMM
PIPER
PLAGUE
PLANNER
PLANTMAN/SAM SMITHER
PLUTO [OLYMPIAN]
PORCUPINE/ALEX GENTR
PRETTY BOY
PRINCESS PYTHON/ZELD
PROCTOR
PROJECTOR/
PROTEUS II
PROWLER III/RICK LAW
PROWLER/HOBIE BROWN
PSYCHO-MAN
PSYLOCKE 2013
PSYLOCKE/ELISABETH B
PUFF ADDER
PUMA/THOMAS FIREHEAR
PURPLE MAN/ZEBEDIAH
PYRO/ALLERDYCE JOHNN
PEACEMONGER/
QUASIMODO
QUICKSAND
QUILL
ROCK/SAMUEL JOHN ROC
RINGER II
RINGER/ANTHONY TONY
RADIOACTIVE MAN II/D
RADIOACTIVE MAN/DR.
RAKKUS
RAMROD
RAMROD II
RAMROD III/
RATTLER
RED GHOST/IVAN KRAGO
RED RAVEN
RED RAVEN II
RED SKULL II/ALBERT
RED SKULL/JOHANN SCH
REPLICUS
RICOCHET RITA
RICOCHET/SEN. STEVEN
RINGLEADER
RINGMASTER/MAYNARD T
RIOT II/
RIOT/HEIDI SLATKIN
RIPTIDE
ROCK PYTHON
RONAN THE ACCUSER [K
ROTWRAP
ROULETTE II/JENNY ST
ROULETTE/DUDE JENSEN
RUCKUS
RAZORFIST
RAZORFIST II
RAZORFIST III
RAZORFIST IV/MARCO S
SET
S'YM
SABRETOOTH | MUTANT
SABRETOOTH/VICTOR CR
SAGITTARIUS II/
SAGITTARIUS/HARLAN V
SALOME
SANDMAN/WILLIAM BAKE
SAT-YR-9
SATANA
SATANNISH
SAUL
SAURON/DR. KARL LYKO
SCALEFACE/
SCALPHUNTER
SCANNER II
SCANNER II/RHANLA
SCANNER/SKERA
SCARECROW II
SCARECROW/EBENEZER L
SCIMITAR
SCORCH II
SCORCH/TOMMY NG
SCORPIO II
SCORPIO III/MIKEL FU
SCORPIO IV
SCORPIO/JAKE FURY
SCORPION/MACDONALD G
SCRAMBLER
SCREAM
SCREAMING MIMI/MELIS
SENTINELS
SETH
SETH II
SETH III
SHADES
SHADOW KING | MUTANT
SHADOW KING/AMAHL FA
SHADOWKNIGHT/RANDALL
SHATTERAX
SHOCKER/HERMAN SCHUL
SHOCKWAVE ROBOT
SHOCKWAVE/LANCASTER
SHOTGUN II/WALKER
SHOTGUN III/
SHOTGUN/ZEKE SALLING
SHRIEK/SANDRA DEEL/F
SHUMA-GORATH
SIDEWINDER/SETH VOEL
SILVER SABLE
SILVER SAMURAI/KENYU
SILVER SCORPION/ELIS
SIN-EATER/STAN CARTE
SITTING BULLSEYE/
SKINNER
SKULLBUSTER
SLASHER
SLASHER II
SLITHER
SLUG/ULYSSES X. LUGM
SPACE PHANTOM
SPANKER/FRED HOVEL
SPIKE
SPIRAL
SPIRAL II/ESTELLE GE
SPOOR/ANDREW HAMISH
SPOT/
SPRAGG
STATIC
STEEL SERPENT
STEEL WIND
STEGRON
STELLARIS/LEAH PRINC
STINGER II/
STINGER III/
STINGER IV
STINGER/
STRYFE
SUGAR MAN
SUNDER
SUNSTROKE/
SUNTURION II/MIKE ST
SUNTURION/ARTHUR DEA
SUPER-ADAPTOID/ALESS
SUPER-PATRIOT
"LANG, DR. STEVEN"
"SHAW, SHINOBI"
CONTROLLER/BASIL SAN
T-RAY/WADE WILSON
TABUR
TALOS
TANA NILE
TARANTULA II/CAPT. L
TARANTULA/ANTON MIGU
TAROT/MARIE-ANGE COL
TASKMASTER
TATTERDEMALION/
TAURUS II/
TAURUS/CORNELIUS VAN
TEMPO
TEMPUS
TENPIN/ALVIN HEALEY
TERMINUS
THANOS
THOG
THORNN
THORNN II/LUCIA CALL
"THULE, GEN."
THUNDERBALL/DR. ELIO
THUNDERSWORD
TIGER SHARK/TODD ARL
TILLIE THE HUN/MATIL
TIMBERIUS
TIMBERIUS II
TINKERER
TITANIA II/MARY SKEE
TITANIA/
TITANIUM MAN III/BOR
TITANIUM MAN/BORIS B
TOAD/MORTIMER TOYNBE
TOMBSTONE/LONNIE THO
TOPAZ
TOWER
TRAPSTER II/LARRY CU
TRAPSTER/PETER PETRU
TRI-SENTINEL
TROLL/
TYPHOID MARY | MUTAN
TYPHOID MARY/MARY ME
TYRANNUS
TYRANT
ANSWER
ANSWER II/DAVID FERR
ORB
OTHER
OTHER II
RUSSIAN
THOUSAND
PAINTER/WILHELM VON
TESS-ONE
TARBABY
TERRAX
TERRAX II/TYROS
"FITZROY, TREVOR"
TRICKSHOT
"CENTURY, TURNER D."
WALKER
ULIK
ULTIMUS
ULTRON
ULTRON 2010
UMAR
UNICORN II/
UNICORN III/
UNICORN/MYLOS MASARY
UNUS THE UNTOUCHABLE
UNUSCIONE
VAKUME
VAPOR
VECTOR
VENOMM
VERMIN II
"VERMIN, LADY"
VERMIN/EDWARD WHELAN
VERTIGO
VERTIGO II
VIRGO II
VIRGO/ELAINE MCLAUGH
VULCAN/
VULTURE III/DR. CLIF
VULTURE/ADRIAN TOOME
W'KABI
WALRUS
WALRUSS
WARLORD
WATER WIZARD/PETE
WEASEL/JACK HAMMER
"WEISS, KONRAD KONNIE"
WHIPLASH II/
WHIPLASH/MARK SCARLO
WHIRLWIND II/DAVID C
WHIRLWIND/DAVID CANN
WHITE RABBIT
WHITEOUT
WIZARD OF THE WEST
WIZARD/BENTLEY WITTM
WORM
WRECKER II
WRECKER III/DIRK GAR
WRECKER/DR. KARL KOR
X-RAY
X-RAY II/
XEMNU
YANDROTH
YELLOW CLAW ROBOT
YELLOW CLAW/TZING JA
YELLOWJACKET II | MU
YELLOWJACKET II/RITA
YELLOWJACKET III/HEN
YMIR
YONDU/YONDU UDONTA
ZALADANE
"ZARRKO, ARTHUR"
ZOM
ZZZAX
"FISK, VANESSA"
"SNOW, VICTORIA"
"VON STRUCKER, WERNER"
WILL O' THE WISP/JAC
"STRYKER, WILLIS"
